id,temperature_bmp,pressure,temperature_dht,humidity,timestamp
2162,24.5,999.764,23.5,47,04/03/25 14:34
2163,24.5,999.719,23.5,47,04/03/25 14:34
2164,24.51,999.746,23.5,47,04/03/25 14:34
2165,24.5,999.744,23.5,47,04/03/25 14:34
2166,24.5,999.746,23.5,47,04/03/25 14:34
2167,24.5,999.737,23.5,47,04/03/25 14:34
2168,24.5,999.737,23.5,47,04/03/25 14:34
2169,24.51,999.74,23.5,47,04/03/25 14:34
2170,24.51,999.76,23.5,47,04/03/25 14:34
2171,24.51,999.731,23.5,47,04/03/25 14:35
2172,24.5,999.75,23.5,47,04/03/25 14:35
2173,24.51,999.758,23.5,47,04/03/25 14:35
2174,24.5,999.756,23.5,47,04/03/25 14:35
2175,24.51,999.723,23.5,47,04/03/25 14:35
2176,24.51,999.737,23.5,47,04/03/25 14:35
2177,24.51,999.784,23.5,47,04/03/25 14:35
2178,24.51,999.745,23.5,47,04/03/25 14:35
2179,24.52,999.765,23.5,47,04/03/25 14:35
2180,24.51,999.729,23.5,47,04/03/25 14:35
2181,24.52,999.741,23.6,47,04/03/25 14:35
2182,24.52,999.751,23.6,47,04/03/25 14:35
2183,24.52,999.747,23.6,47,04/03/25 14:36
2184,24.52,999.751,23.6,47,04/03/25 14:36
2185,24.52,999.734,23.6,47,04/03/25 14:36
2186,24.52,999.773,23.6,47,04/03/25 14:36
2187,24.52,999.768,23.6,47,04/03/25 14:36
2188,24.52,999.771,23.6,47,04/03/25 14:36
2189,24.52,999.722,23.6,47,04/03/25 14:36
2190,24.53,999.752,23.6,47,04/03/25 14:36
2191,24.53,999.753,23.6,47,04/03/25 14:36
2192,24.53,999.768,23.6,47,04/03/25 14:36
2193,24.54,999.776,23.6,47,04/03/25 14:36
2194,24.53,999.73,23.6,47,04/03/25 14:36
2195,24.53,999.743,23.6,47,04/03/25 14:37
2196,24.53,999.735,23.6,47,04/03/25 14:37
2197,24.54,999.709,23.6,47,04/03/25 14:37
2198,24.54,999.714,23.6,47,04/03/25 14:37
2199,24.54,999.74,23.6,47,04/03/25 14:37
2200,24.54,999.76,23.6,47,04/03/25 14:37
2201,24.54,999.765,23.6,47,04/03/25 14:37
2202,24.54,999.763,23.6,47,04/03/25 14:37
2203,24.55,999.77,23.6,47,04/03/25 14:37
2204,24.54,999.732,23.6,47,04/03/25 14:37
2205,24.55,999.755,23.6,47,04/03/25 14:37
2206,24.55,999.73,23.6,47,04/03/25 14:37
2207,24.55,999.751,23.6,47,04/03/25 14:38
2208,24.55,999.768,23.6,47,04/03/25 14:38
2209,24.55,999.771,23.6,47,04/03/25 14:38
2210,24.56,999.773,23.6,47,04/03/25 14:38
2211,24.55,999.749,23.6,47,04/03/25 14:38
2212,24.56,999.755,23.6,47,04/03/25 14:38
